iter	Passed	Remaining
402	13987	20720
403	14014	20674
404	14044	20632
405	14071	20586
406	14097	20540
407	14124	20494
408	14157	20457
409	14203	20439
410	14236	20402
411	14269	20364
412	14297	20320
413	14324	20275
414	14351	20230
415	14378	20184
416	14411	20148
417	14438	20103
418	14466	20059
419	14501	20025
420	14530	19983
421	14557	19939
422	14604	19921
423	14641	19890
424	14668	19846
425	14697	19803
426	14726	19762
427	14754	19719
428	14785	19679
429	14812	19635
430	14839	19591
431	14869	19550
432	14901	19513
433	14931	19472
434	14958	19429
435	14987	19388
436	15015	19345
437	15043	19301
438	15070	19258
439	15097	19215
440	15126	19173
441	15162	19142
442	15191	19100
443	15217	19056
444	15245	19014
445	15272	18971
446	15300	18929
447	15328	18887
448	15357	18845
449	15388	18808
450	15416	18766
451	15444	18724
452	15471	18682
453	15500	18640
454	15530	18602
455	15558	18560
456	15587	18521
457	15617	18481
458	15643	18438
459	15671	18397
460	15699	18355
461	15725	18312
462	15753	18271
463	15786	18236
464	15813	18193
465	15842	18154
466	15870	18113
467	15897	18071
468	15924	18029
469	15952	17989
470	15981	17949
471	16007	17907
472	16040	17872
473	16077	17840
474	16114	17810
475	16154	17783
476	16204	17767
477	16233	17727
478	16261	17686
479	16290	17648
480	16319	17608
481	16370	17593
482	16413	17568
483	16447	17535
484	16503	17524
485	16536	17489
486	16568	17453
487	16602	17419
488	16635	17384
489	16668	17348
490	16701	17313
491	16737	17282
492	16770	17246
493	16801	17209
494	16834	17175
495	16867	17139
496	16899	17103
497	16932	17068
498	16982	17050
499	17035	17035
500	17068	17000
501	17095	16959
502	17139	16935
503	17194	16921
504	17237	16896
505	17272	16862
506	17307	16829
507	17335	16789
508	17362	16748
509	17390	16708
510	17420	16670
511	17447	16629
512	17474	16588
513	17501	16548
514	17528	16507
515	17555	16466
516	17582	16426
517	17609	16385
518	17638	16346
519	17665	16306
520	17692	16265
521	17719	16226
522	17746	16185
523	17773	16145
524	17799	16104
525	17827	16064
526	17855	16026
527	17882	15985
528	17910	15946
529	17941	15910
530	17982	15882
531	18010	15843
532	18039	15805
533	18078	15776
534	18115	15745
535	18147	15709
536	18179	15674
537	18218	15644
538	18247	15606
539	18285	15576
540	18312	15536
541	18344	15501
542	18375	15465
543	18412	15433
544	18439	15394
545	18467	15355
546	18498	15319
547	18526	15280
548	18553	15241
549	18580	15202
550	18607	15162
551	18634	15123
552	18662	15085
553	18689	15045
554	18718	15008
555	18746	14970
556	18773	14930
557	18801	14893
558	18828	14854
559	18858	14817
560	18887	14779
561	18917	14743
562	18952	14710
563	18987	14678
564	19027	14649
565	19082	14632
566	19115	14597
567	19142	14559
568	19171	14521
569	19199	14483
570	19237	14453
571	19276	14423
572	19303	14385
573	19330	14346
574	19359	14309
575	19393	14275
576	19425	14241
577	19466	14212
578	19497	14176
579	19531	14143
580	19589	14127
581	19638	14104
582	19682	14077
583	19724	14050
584	19775	14028
585	19824	14005
586	19874	13983
587	19918	13956
588	19950	13921
589	19980	13884
590	20009	13847
591	20036	13809
592	20064	13771
593	20095	13735
594	20126	13699
595	20152	13660
596	20179	13622
597	20209	13585
598	20239	13549
599	20272	13514
600	20309	13483
601	20344	13450
602	20388	13423
603	20430	13395
604	20468	13363
605	20497	13326
606	20528	13290
607	20555	13253
608	20583	13215
609	20610	13177
610	20640	13140
611	20673	13106
612	20705	13071
613	20739	13037
614	20769	13001
615	20799	12966
616	20826	12928
617	20853	12890
618	20880	12852
619	20908	12814
620	20936	12777
621	20964	12740
622	20992	12703
623	21019	12665
624	21047	12628
625	21074	12590
626	21101	12553
627	21128	12515
628	21156	12478
629	21185	12442
630	21211	12404
631	21239	12367
632	21267	12330
633	21295	12293
634	21322	12256
635	21350	12219
636	21376	12181
637	21406	12146
638	21433	12108
639	21460	12071
640	21491	12036
641	21519	11999
642	21547	11963
643	21574	11926
644	21602	11889
645	21631	11853
646	21658	11816
647	21685	11779
648	21713	11743
649	21741	11706
650	21769	11670
651	21797	11634
652	21825	11598
653	21855	11562
654	21884	11526
655	21910	11489
656	21949	11459
657	21980	11424
658	22012	11390
659	22042	11355
660	22072	11320
661	22100	11283
662	22127	11247
663	22154	11210
664	22181	11174
665	22209	11137
666	22235	11101
667	22262	11064
668	22292	11029
669	22323	10995
670	22354	10960
671	22382	10924
672	22411	10889
673	22439	10853
674	22466	10817
675	22493	10780
676	22522	10745
677	22551	10710
678	22578	10674
679	22605	10637
680	22635	10603
681	22669	10570
682	22703	10537
683	22749	10509
684	22805	10487
685	22870	10468
686	22915	10440
687	22943	10404
688	22978	10372
689	23011	10338
690	23038	10302
691	23065	10265
692	23092	10230
693	23120	10194
694	23147	10158
695	23175	10122
696	23204	10087
697	23232	10051
698	23258	10015
699	23287	9980
700	23315	9944
701	23341	9908
702	23369	9872
703	23398	9837
704	23431	9804
705	23463	9771
706	23492	9736
707	23522	9701
708	23554	9667
709	23587	9634
710	23623	9602
711	23661	9570
712	23702	9540
713	23740	9509
714	23774	9476
715	23806	9442
716	23840	9409
717	23875	9377
718	23903	9342
