iter	MultiClassOneVsAll
317	0.1510535415
318	0.1509453213
319	0.1508282672
320	0.1507752263
321	0.1506621684
322	0.1505614823
323	0.1504956467
324	0.1504090507
325	0.1503364012
326	0.1501991667
327	0.1500728301
328	0.1499593164
329	0.1498858892
330	0.1498005059
331	0.1497593657
332	0.1496242849
333	0.1495039435
334	0.1494100138
335	0.1493315348
336	0.1492254526
337	0.1491136921
338	0.1490086776
339	0.1488978749
340	0.148819978
341	0.1487191623
342	0.1486555761
343	0.1485432472
344	0.1484710895
345	0.1483878944
346	0.1482883218
347	0.1482054434
348	0.1481202775
349	0.1480271264
350	0.1479195499
351	0.1478469717
352	0.1477611913
353	0.1476792048
354	0.1475808869
355	0.1474709095
356	0.1473761574
357	0.1472839913
358	0.1471901867
359	0.147100574
360	0.1470289959
361	0.146951124
362	0.1468603204
363	0.1467455027
364	0.1466613278
365	0.146595024
366	0.1465364978
367	0.1464800823
368	0.1464414025
369	0.1463735507
370	0.1463325074
371	0.1462460921
372	0.1461853158
373	0.1460839503
374	0.146012944
375	0.1459180722
376	0.1458322132
377	0.1457473458
378	0.145689741
379	0.1456377255
380	0.1455502063
381	0.1454895845
382	0.1453953748
383	0.145330268
384	0.1452467368
385	0.145146793
386	0.1451009708
387	0.1450211415
388	0.1449591915
389	0.1448931615
390	0.1448394279
391	0.1447750098
392	0.1446623654
393	0.144595364
394	0.1445483181
395	0.1445095164
396	0.14442269
397	0.1443265845
398	0.1442344099
399	0.1441612595
400	0.1440806523
401	0.1440028649
402	0.1439475124
403	0.1438820975
404	0.1438257796
405	0.143745913
406	0.1436683656
407	0.1436325401
408	0.1435690642
409	0.1434961376
410	0.1434373453
411	0.143353221
412	0.1432594889
413	0.1431847022
414	0.1431338317
415	0.143095435
416	0.1430370887
417	0.1429905693
418	0.1429362553
419	0.1429011611
420	0.1428042169
421	0.1427321757
422	0.1426512869
423	0.1425661667
424	0.1425120984
425	0.1424325064
426	0.1423580421
427	0.142293637
428	0.1422369144
429	0.1421850893
430	0.1420906538
431	0.1420076545
432	0.1419535223
433	0.1418459378
434	0.1417748278
435	0.141712905
436	0.1416352107
437	0.14157324
438	0.1415329441
439	0.1414780153
440	0.141408297
441	0.1413574234
442	0.1412922011
443	0.1412501515
444	0.1411737017
445	0.1411093541
446	0.1410550751
447	0.1409745146
448	0.1409090611
449	0.1408461683
450	0.1407797271
451	0.140727189
452	0.1406695536
453	0.1405777594
454	0.1405157064
455	0.1404530044
456	0.1403859385
457	0.1403236041
458	0.1402756865
459	0.1401909024
460	0.1401383508
461	0.1400962519
462	0.1400443475
463	0.139988998
464	0.1399393951
465	0.1398859181
466	0.1397867833
467	0.1397212164
468	0.1396762883
469	0.1396201283
470	0.1395792637
471	0.1395485129
472	0.1394972842
473	0.1394207909
474	0.1393632462
475	0.1393027584
476	0.1392218393
477	0.1391489641
478	0.1390851346
479	0.1390431379
480	0.139014365
481	0.1389753305
482	0.1389300332
483	0.1388914549
484	0.1388436351
485	0.1387889004
486	0.1387327248
487	0.138702277
488	0.1386628677
489	0.1386020909
490	0.138540146
491	0.1384782805
492	0.1384248162
493	0.1383822993
494	0.1383352095
495	0.1382521641
496	0.1382234439
497	0.1381586609
498	0.1381137771
499	0.1380387233
500	0.1379819094
501	0.1379083942
502	0.1378400052
503	0.1377908583
504	0.1377107257
505	0.1376660009
506	0.137622201
507	0.137573492
508	0.137552392
509	0.1374993084
510	0.1374265556
511	0.1373729793
512	0.1373358482
513	0.1373069324
514	0.137277652
515	0.1372377937
516	0.137184236
517	0.1371286577
518	0.1370785052
519	0.1370525678
520	0.1370058644
521	0.1369373847
522	0.1368869543
523	0.13682715
524	0.1367958797
525	0.1367697181
526	0.1367183697
527	0.1366682663
528	0.1366275607
529	0.1365874266
530	0.1365117118
531	0.1364387026
532	0.1363757104
533	0.1363211166
534	0.1362802922
535	0.1362320858
536	0.1361950159
537	0.1361418714
538	0.1360771867
539	0.1360224734
540	0.1359488182
541	0.1359026294
542	0.1358754783
543	0.1358305135
544	0.1357909436
545	0.1357252398
546	0.1356529391
547	0.1355821468
548	0.1355192051
549	0.1354572134
550	0.1354182502
551	0.1353657741
552	0.1353074371
553	0.1352624894
554	0.1352252491
555	0.1351675001
556	0.1351425566
557	0.1350869992
558	0.1350469184
559	0.1350142454
560	0.1349644719
561	0.1349164897
562	0.1348909386
563	0.1348429223
564	0.134794085
565	0.1347611208
566	0.134727838
567	0.134684971
568	0.1346599994
569	0.1346136642
570	0.1345727342
571	0.1345261183
572	0.1344830562
573	0.1344125729
574	0.1343617422
575	0.1343356271
576	0.1342750123
577	0.134216429
578	0.1341800438
579	0.1341163479
580	0.1340683654
581	0.1340354808
582	0.1340121012
583	0.133978126
584	0.1339249768
585	0.1338724707
586	0.1338221459
587	0.1337909507
588	0.1337666992
589	0.133739219
590	0.1337070404
591	0.1336541461
592	0.1336025277
593	0.1335606755
594	0.1334891671
595	0.1334537076
596	0.1334158359
597	0.133355083
598	0.1332993259
599	0.1332507638
600	0.1331967098
601	0.1331686995
602	0.1331091664
603	0.1330650323
604	0.1330209725
605	0.1329636992
606	0.13290274
607	0.1328770884
608	0.1328375511
609	0.1328049353
610	0.1327707995
611	0.1327338581
612	0.1326633005
613	0.1326309652
614	0.132591207
615	0.1325585864
616	0.132505281
617	0.1324674721
618	0.1324275437
619	0.1323611677
620	0.132319183
621	0.1322889442
622	0.1322401961
623	0.1321927561
624	0.1321492556
625	0.1320942067
626	0.1320705442
627	0.1320333249
628	0.1319913517
629	0.1319476206
630	0.1319194263
631	0.1318856125
632	0.1318437786
633	0.131767735
634	0.1317240956
635	0.1316656919
636	0.1316420388
637	0.1315895621
638	0.1315621556
639	0.1315244874
640	0.1314857784
641	0.131433176
642	0.1313790096
643	0.1313233617
644	0.1312991995
645	0.1312584998
646	0.131240824
647	0.1311927467
648	0.1311450233
649	0.1310800878
650	0.1310282466
651	0.1309846976
652	0.1309243107
653	0.1308713874
654	0.1308296779
655	0.1307972456
656	0.13072441
657	0.1306881532
658	0.130627738
659	0.1305806454
660	0.1305300097
661	0.1304884752
662	0.1304470118
663	0.1304074479
664	0.1303837368
665	0.1303339963
